Somalia;1981;45.693;19.952;44.7353658536585;6089707.0;637660.0;9.7071874900373
India;1998;26.93;9.361;60.968512195122;990460131.0;3287260.0;333.130452813308
Bhutan;1970;48.874;26.974;36.2630975609756;282302.0;47000.0;6.04203497206943
Afghanistan;2011;37.952;8.684;59.6000975609756;28397812.0;652230.0;43.5395673305429
Congo;2004;39.306;13.344;53.0488048780488;3363418.0;342000.0;9.84895461200586
Spain;1994;9.8;8.7;77.5465853658537;39189400.0;505990.0;78.4666826846068
Bolivia;2013;25.948;7.152;66.9266341463415;10496285.0;1098580.0;9.68917659004893
Malawi;2003;43.951;16.806;46.711243902439;11926778.0;118480.0;126.50379719983
Qatar;1993;21.499;2.092;75.6513902439025;489606.0;11610.0;42.1710594315245
Venezuela;2012;20.386;5.215;74.3309756097561;29500625.0;912050.0;33.445524630123
Guinea;1996;44.368;15.563;51.6996829268293;7837173.0;245860.0;31.8947297737262
Algeria;1984;41.469;8.96;62.0089512195122;21453278.0;2381740.0;9.00739711303501
Equatorial Guinea;2004;38.415;16.739;48.1909756097561;568552.0;28050.0;20.2692335115865
Cameroon;1986;46.216;14.723;52.8447804878049;10381098.0;475440.0;21.9608174144825
Nicaragua;1995;33.833;6.152;66.8216341463415;4557125.0;130370.0;37.8687468838292
Brunei Darussalam;1997;26.449;3.067;75.1580243902439;302511.0;5770.0;57.4024667931689
Israel;1986;23.5;6.6;75.2073170731707;4233000.0;22070.0;195.609981515712
Mozambique;1992;43.318;20.058;43.9213414634146;13893546.0;799380.0;17.6677255270989
Philippines;2013;24.59;6.004;68.5537317073171;96706764.0;300000.0;324.334319348023
Burkina Faso;2012;41.971;11.671;55.4404878048781;15995313.0;274220.0;58.4624013157895
India;2013;20.723;7.937;66.2108536585366;1236686732.0;3287260.0;415.946082154185
Bangladesh;2003;25.581;6.871;66.2399024390244;137006279.0;144000.0;1052.51808404394
Togo;1981;47.043;14.721;52.3044146341463;2720838.0;56790.0;50.0246001103144
Burundi;2013;44.982;13.058;53.628756097561;9849569.0;27830.0;383.55019470405
United States;1988;15.7;8.6;74.7658536585366;242289000.0;9629090.0;26.4537676766794
Suriname;1994;22.731;7.136;67.7120731707317;424326.0;163820.0;2.72003846153846
Antigua and Barbuda;1981;18.71;6.385;68.5919756097561;70301.0;440.0;159.775
Sri Lanka;1988;22.345;6.375;69.3217317073171;16373000.0;65610.0;261.090735129963
Saudi Arabia;1990;36.676;5.308;68.710512195122;15665086.0;2149690.0;7.28713721513334
Morocco;1988;32.831;7.956;62.8266829268293;23260094.0;446550.0;52.1176204346852
Morocco;2001;22.022;6.069;68.1385853658537;28710123.0;446550.0;64.3292023302711
Madagascar;1996;44.09;12.809;54.6140487804878;13452526.0;587040.0;23.1325893317743
Iceland;1980;19.8;6.6;76.7731707317073;225735.0;103000.0;2.25172069825436
Chile;1993;22.11;5.494;74.1550243902439;13706485.0;756096.0;18.4342906559503
Norway;1973;16.3;10.0;74.3446341463415;3933004.0;385178.0;10.7674474632325
Guyana;1968;34.059;9.706;59.1330243902439;675811.0;214970.0;3.43557012861573
